time,Milwaukee,pts.away,score,pts.home,Washington
3:11.0,M. Dellavedova enters the game for J. Henson,,71-63,,
3:03.0,,,71-65,2,B. Beal makes 2-pt shot from 1 ft
2:51.0,K. Middleton makes 2-pt shot from 9 ft,2,73-65,,
2:28.0,,,73-67,2,B. Beal makes 2-pt shot from 12 ft
2:14.0,E. Bledsoe misses 2-pt shot from 1 ft,,73-67,,
2:11.0,,,73-67,,Defensive rebound by B. Beal
2:06.0,,,73-67,,M. Scott misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by K. Middleton,,73-67,,
1:57.0,M. Brogdon makes 3-pt shot from 23 ft (assist by K. Middleton),3,76-67,,
1:35.0,,,76-67,,J. Wall misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by M. Dellavedova,,76-67,,
1:32.0,,,76-67,,Personal foul by M. Scott (drawn by G. Antetokounmpo)
1:32.0,G. Antetokounmpo makes free throw 1 of 2,1,77-67,,
1:32.0,,,77-67,,I. Mahinmi enters the game for B. Beal
1:32.0,T. Snell enters the game for K. Middleton,,77-67,,
1:32.0,G. Antetokounmpo makes free throw 2 of 2,1,78-67,,
1:16.0,,,78-67,,K. Oubre misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by G. Antetokounmpo,,78-67,,
1:00.0,E. Bledsoe misses 2-pt shot at rim (block by M. Scott),,78-67,,
0:59.0,,,78-67,,Defensive rebound by M. Scott
0:56.0,,,78-69,2,M. Scott makes 2-pt shot at rim (assist by J. Wall)
0:37.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,78-69,,
0:36.0,Offensive rebound by G. Antetokounmpo,,78-69,,
0:36.0,,,78-69,,Personal foul by K. Oubre (drawn by G. Antetokounmpo)
0:36.0,G. Antetokounmpo misses free throw 1 of 2,,78-69,,
0:36.0,Offensive rebound by Team,,78-69,,
0:36.0,T. Maker enters the game for M. Brogdon,,78-69,,
0:36.0,G. Antetokounmpo misses free throw 2 of 2,,78-69,,
0:34.0,,,78-69,,Defensive rebound by I. Mahinmi
0:28.0,,,78-69,,J. Wall misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
0:23.0,Defensive rebound by T. Maker,,78-69,,
0:05.0,T. Maker misses 3-pt shot from 22 ft,,78-69,,
0:02.0,,,78-69,,Defensive rebound by K. Oubre
0:00.0,,,78-72,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-72,,Turnover by J. Wall (bad pass; steal by S. Brown)
11:39.0,Shooting foul by J. Wall (drawn by K. Middleton),,78-72,,
11:39.0,K. Middleton misses free throw 1 of 2,,78-72,,
11:39.0,Offensive rebound by Team,,78-72,,
11:39.0,K. Middleton misses free throw 2 of 2,,78-72,,
11:35.0,,,78-72,,Defensive rebound by M. Scott
11:22.0,,,78-72,,Shooting foul by S. Brown (drawn by T. Satoransky)
11:22.0,,,78-73,1,T. Satoransky makes free throw 1 of 3
11:22.0,,,78-74,1,T. Satoransky makes free throw 3 of 3
11:22.0,,,78-75,1,T. Satoransky makes free throw 2 of 3
11:09.0,Turnover by K. Middleton (lost ball; steal by J. Wall),,78-75,,
10:58.0,,,78-77,2,J. Wall makes 2-pt shot from 3 ft
10:58.0,,,78-77,,Shooting foul by S. Brown (drawn by J. Wall)
10:58.0,M. Brogdon enters the game for S. Brown,,78-77,,
10:58.0,,,78-78,1,J. Wall makes free throw 1 of 1
10:47.0,M. Brogdon misses 2-pt shot from 3 ft (block by K. Oubre),,78-78,,
10:46.0,Offensive rebound by T. Maker,,78-78,,
10:44.0,Turnover by T. Maker (lost ball; steal by J. Wall),,78-78,,
10:40.0,,,78-80,2,T. Satoransky makes 2-pt shot from 1 ft (assist by J. Wall)
10:40.0,Milwaukee full timeout,,78-80,,
10:40.0,G. Antetokounmpo enters the game for T. Maker,,78-80,,
10:40.0,J. Henson enters the game for M. Dellavedova,,78-80,,
10:40.0,E. Bledsoe enters the game for T. Snell,,78-80,,
10:24.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by J. Wall),,78-80,,
10:16.0,,,78-80,,Defensive rebound by I. Mahinmi
10:01.0,,,78-80,,M. Scott misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by K. Middleton,,78-80,,
9:50.0,E. Bledsoe misses 2-pt shot from 3 ft,,78-80,,
9:45.0,Offensive rebound by G. Antetokounmpo,,78-80,,
9:45.0,G. Antetokounmpo makes 2-pt shot at rim,2,80-80,,
9:37.0,,,80-80,,Shooting foul by G. Antetokounmpo (drawn by K. Oubre)
9:37.0,,,80-81,1,K. Oubre makes free throw 1 of 2
9:37.0,,,80-81,,O. Porter enters the game for J. Wall
9:37.0,,,80-81,,B. Beal enters the game for T. Satoransky
9:37.0,,,80-82,1,K. Oubre makes free throw 2 of 2
9:24.0,E. Bledsoe makes 2-pt shot from 18 ft,2,82-82,,
9:13.0,,,82-82,,B. Beal misses 3-pt shot from 25 ft
9:07.0,,,82-82,,Offensive rebound by K. Oubre
8:56.0,,,82-82,,Turnover by O. Porter (lost ball; steal by E. Bledsoe)
8:49.0,Turnover by G. Antetokounmpo (bad pass; steal by I. Mahinmi),,82-82,,
8:34.0,,,82-85,3,M. Scott makes 3-pt shot from 25 ft (assist by B. Beal)
8:19.0,K. Middleton makes 2-pt shot from 21 ft,2,84-85,,
8:03.0,,,84-85,,Shooting foul by E. Bledsoe (drawn by K. Oubre)
8:03.0,,,84-86,1,K. Oubre makes free throw 1 of 3
8:03.0,,,84-87,1,K. Oubre makes free throw 2 of 3
8:03.0,,,84-88,1,K. Oubre makes free throw 3 of 3
7:55.0,,,84-88,,Personal foul by I. Mahinmi (drawn by E. Bledsoe)
7:51.0,M. Brogdon misses 2-pt shot from 3 ft (block by I. Mahinmi),,84-88,,
7:46.0,Offensive rebound by G. Antetokounmpo,,84-88,,
7:44.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,87-88,,
7:25.0,,,87-88,,K. Oubre misses 2-pt shot from 2 ft
7:20.0,,,87-88,,Offensive rebound by K. Oubre
7:20.0,,,87-90,2,K. Oubre makes 2-pt shot at rim
7:10.0,E. Bledsoe misses 2-pt shot from 1 ft,,87-90,,
7:05.0,Offensive rebound by J. Henson,,87-90,,
7:05.0,J. Henson misses 2-pt shot at rim,,87-90,,
7:04.0,,,87-90,,Defensive rebound by O. Porter
6:56.0,,,87-90,,B. Beal misses 2-pt shot from 15 ft
6:51.0,Defensive rebound by G. Antetokounmpo,,87-90,,
6:50.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,89-90,,
6:50.0,,,89-90,,Washington full timeout
6:50.0,,,89-90,,J. Wall enters the game for I. Mahinmi
6:50.0,,,89-90,,M. Morris enters the game for M. Scott
6:26.0,Violation by G. Antetokounmpo (kicked ball),,89-90,,
6:18.0,,,89-92,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal)
