time,Cleveland,pts.away,score,pts.home,Boston
7:27.0,,,72-90,,Turnover by M. Smart (lost ball; steal by D. Wade)
7:22.0,T. Thompson makes 2-pt shot from 2 ft (assist by K. Korver),2,74-90,,
7:22.0,Shooting foul by M. Smart (drawn by T. Thompson),,74-90,,
7:22.0,,,74-90,,K. Irving enters the game for M. Smart
7:22.0,T. Thompson makes free throw 1 of 1,1,75-90,,
7:09.0,,,75-93,3,T. Rozier makes 3-pt shot from 27 ft (assist by A. Baynes)
6:51.0,K. Korver misses 2-pt shot from 16 ft,,75-93,,
6:49.0,,,75-93,,Defensive rebound by T. Rozier
6:38.0,,,75-93,,Turnover by S. Ojeleye (bad pass; steal by D. Wade)
6:31.0,J. Green makes 2-pt shot from 1 ft (assist by J. Crowder),2,77-93,,
6:10.0,,,77-95,2,T. Rozier makes 2-pt shot from 11 ft (assist by J. Tatum)
5:47.0,J. Crowder misses 3-pt shot from 23 ft,,77-95,,
5:45.0,,,77-95,,Defensive rebound by K. Irving
5:33.0,,,77-98,3,T. Rozier makes 3-pt shot from 27 ft
5:33.0,Cleveland full timeout,,77-98,,
5:33.0,C. Osman enters the game for D. Wade,,77-98,,
5:33.0,C. Frye enters the game for K. Korver,,77-98,,
5:33.0,J. Calderon enters the game for J. Green,,77-98,,
5:09.0,J. Crowder misses 2-pt shot from 21 ft,,77-98,,
5:07.0,,,77-98,,Defensive rebound by K. Irving
4:53.0,,,77-100,2,A. Baynes makes 2-pt shot from 8 ft (assist by K. Irving)
4:36.0,,,77-100,,Violation by A. Baynes (def goaltending)
4:36.0,J. Crowder makes 2-pt shot from 4 ft,2,79-100,,
4:16.0,,,79-100,,Turnover by T. Rozier (discontinued dribble)
4:16.0,,,79-100,,M. Morris enters the game for K. Irving
4:06.0,C. Frye misses 3-pt shot from 25 ft,,79-100,,
4:03.0,,,79-100,,Defensive rebound by M. Morris
3:51.0,,,79-100,,Turnover by M. Morris (traveling)
3:45.0,,,79-100,,Personal foul by A. Baynes (drawn by J. Calderon)
3:38.0,C. Osman makes 2-pt shot from 5 ft (assist by T. Thompson),2,81-100,,
3:17.0,,,81-100,,J. Tatum misses 2-pt shot from 3 ft (block by C. Frye)
3:15.0,Defensive rebound by C. Frye,,81-100,,
3:10.0,C. Frye misses 3-pt shot from 24 ft,,81-100,,
3:06.0,Offensive rebound by J. Calderon,,81-100,,
2:51.0,C. Frye misses 2-pt shot from 15 ft,,81-100,,
2:48.0,,,81-100,,Defensive rebound by M. Morris
2:39.0,,,81-100,,Shooting foul by T. Thompson (drawn by M. Morris)
2:39.0,,,81-101,1,M. Morris makes free throw 1 of 2
2:39.0,,,81-101,,S. Larkin enters the game for J. Tatum
