time,Boston,pts.away,score,pts.home,Houston
9:29.0,,,95-93,,Defensive rebound by C. Paul
9:25.0,,,95-96,3,C. Paul makes 3-pt shot from 25 ft
9:02.0,M. Morris makes 3-pt shot from 25 ft (assist by J. Tatum),3,98-96,,
8:47.0,,,98-96,,N. Hilario misses 2-pt shot at rim
8:45.0,Defensive rebound by G. Monroe,,98-96,,
8:34.0,M. Morris misses 2-pt shot from 4 ft,,98-96,,
8:34.0,Offensive rebound by Team,,98-96,,
8:34.0,,,98-96,,C. Capela enters the game for J. Johnson
8:34.0,,,98-96,,P. Tucker enters the game for N. Hilario
8:34.0,,,98-96,,J. Harden enters the game for T. Ariza
8:26.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Tatum),3,101-96,,
8:13.0,,,101-99,3,E. Gordon makes 3-pt shot from 24 ft (assist by C. Paul)
8:00.0,T. Rozier makes 2-pt shot at rim (assist by G. Monroe),2,103-99,,
7:49.0,,,103-102,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
7:34.0,G. Monroe misses 2-pt shot from 5 ft,,103-102,,
7:33.0,,,103-102,,Defensive rebound by P. Tucker
7:25.0,,,103-102,,Turnover by E. Gordon (lost ball; steal by M. Morris)
7:20.0,,,103-102,,Personal foul by P. Tucker (drawn by J. Tatum)
7:20.0,K. Irving enters the game for J. Brown,,103-102,,
7:08.0,M. Morris makes 2-pt shot at rim,2,105-102,,
6:47.0,,,105-102,,J. Harden misses 2-pt shot at rim
6:44.0,Defensive rebound by T. Rozier,,105-102,,
6:28.0,M. Morris makes 3-pt shot from 27 ft,3,108-102,,
6:26.0,,,108-102,,Houston full timeout
6:26.0,,,108-102,,T. Ariza enters the game for C. Paul
6:26.0,A. Horford enters the game for G. Monroe,,108-102,,
6:10.0,,,108-105,3,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza)
5:51.0,,,108-105,,Personal foul by T. Ariza (drawn by A. Horford)
5:44.0,A. Horford misses 2-pt shot from 11 ft,,108-105,,
5:41.0,,,108-105,,Defensive rebound by C. Capela
5:23.0,,,108-105,,Turnover by P. Tucker (bad pass; steal by M. Morris)
5:21.0,Turnover by M. Morris (bad pass; steal by C. Capela),,108-105,,
5:09.0,,,108-105,,E. Gordon misses 2-pt shot from 5 ft
5:08.0,,,108-105,,Offensive rebound by Team
5:08.0,M. Smart enters the game for T. Rozier,,108-105,,
4:58.0,,,108-105,,P. Tucker misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by Team,,108-105,,
4:56.0,,,108-105,,Loose ball foul by C. Capela (drawn by M. Smart)
4:56.0,M. Smart makes free throw 1 of 2,1,109-105,,
4:56.0,,,109-105,,C. Paul enters the game for E. Gordon
4:56.0,M. Smart makes free throw 2 of 2,1,110-105,,
4:40.0,,,110-105,,J. Harden misses 3-pt shot from 23 ft
4:38.0,,,110-105,,Offensive rebound by C. Capela
4:33.0,,,110-105,,T. Ariza misses 3-pt shot from 24 ft
4:33.0,,,110-105,,Offensive rebound by J. Harden
4:30.0,,,110-107,2,J. Harden makes 2-pt shot at rim
4:22.0,Boston full timeout,,110-107,,
4:22.0,T. Rozier enters the game for J. Tatum,,110-107,,
4:10.0,T. Rozier misses 2-pt shot from 15 ft,,110-107,,
4:07.0,Offensive rebound by M. Morris,,110-107,,
4:01.0,T. Rozier makes 3-pt shot from 23 ft (assist by A. Horford),3,113-107,,
3:44.0,Personal foul by M. Smart (drawn by J. Harden),,113-107,,
3:32.0,,,113-107,,J. Harden misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by M. Smart,,113-107,,
3:27.0,Turnover by M. Smart (bad pass; steal by J. Harden),,113-107,,
3:24.0,,,113-107,,T. Ariza misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by Team,,113-107,,
