time,Charlotte,pts.away,score,pts.home,Cleveland
2:21.0,Defensive rebound by M. Williams,,79-76,,
2:12.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,82-76,,
1:46.0,,,82-78,2,D. Wade makes 2-pt shot from 16 ft
1:33.0,K. Walker misses 3-pt shot from 26 ft,,82-78,,
1:30.0,Offensive rebound by K. Walker,,82-78,,
1:29.0,K. Walker misses 2-pt shot from 17 ft,,82-78,,
1:27.0,,,82-78,,Defensive rebound by L. James
1:12.0,,,82-78,,J. Smith misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by M. Williams,,82-78,,
1:04.0,J. Lamb misses 2-pt shot at rim,,82-78,,
1:02.0,,,82-78,,Defensive rebound by L. James
0:52.0,,,82-78,,Shooting foul by C. Zeller (drawn by L. James)
0:52.0,,,82-79,1,L. James makes free throw 1 of 2
0:52.0,,,82-79,,J. Green enters the game for J. Smith
0:52.0,F. Kaminsky enters the game for M. Williams,,82-79,,
0:52.0,M. Carter-Williams enters the game for J. Lamb,,82-79,,
0:52.0,,,82-80,1,L. James makes free throw 2 of 2
0:39.0,C. Zeller misses 2-pt shot from 19 ft,,82-80,,
0:36.0,,,82-80,,Defensive rebound by L. James
0:31.0,,,82-83,3,L. James makes 3-pt shot from 32 ft
0:11.0,K. Walker misses 2-pt shot from 19 ft,,82-83,,
0:09.0,Offensive rebound by Team,,82-83,,
0:09.0,,,82-83,,C. Osman enters the game for L. James
0:00.0,K. Walker misses 3-pt shot from 26 ft,,82-83,,
0:00.0,Offensive rebound by Team,,82-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Carter-Williams misses 2-pt shot from 3 ft,,82-83,,
11:41.0,Offensive rebound by M. Carter-Williams,,82-83,,
11:41.0,M. Carter-Williams misses 2-pt shot from 3 ft,,82-83,,
11:41.0,Offensive rebound by Team,,82-83,,
11:41.0,,,82-83,,Personal foul by K. Love (drawn by M. Carter-Williams)
11:36.0,Turnover by K. Walker (lost ball; steal by J. Green),,82-83,,
11:25.0,,,82-83,,D. Wade misses 2-pt shot from 2 ft (block by M. Carter-Williams)
11:25.0,Defensive rebound by Team,,82-83,,
11:09.0,F. Kaminsky misses 3-pt shot from 27 ft,,82-83,,
11:09.0,,,82-83,,Defensive rebound by C. Frye
10:46.0,,,82-83,,D. Wade misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by C. Zeller,,82-83,,
10:34.0,Shooting foul by C. Frye (drawn by K. Walker),,82-83,,
10:34.0,K. Walker misses free throw 1 of 2,,82-83,,
10:34.0,Offensive rebound by Team,,82-83,,
10:34.0,K. Walker misses free throw 2 of 2,,82-83,,
10:31.0,,,82-83,,Defensive rebound by K. Love
10:16.0,,,82-85,2,D. Wade makes 2-pt shot at rim (assist by J. Green)
9:55.0,K. Walker makes 2-pt shot from 20 ft,2,84-85,,
9:45.0,Personal foul by K. Walker (drawn by K. Love),,84-85,,
9:45.0,,,84-85,,J. Crowder enters the game for C. Frye
9:45.0,J. Lamb enters the game for K. Walker,,84-85,,
9:37.0,,,84-85,,J. Green misses 2-pt shot from 7 ft
9:35.0,Defensive rebound by D. Bacon,,84-85,,
9:18.0,M. Carter-Williams misses 2-pt shot from 17 ft,,84-85,,
9:16.0,Offensive rebound by C. Zeller,,84-85,,
9:14.0,J. Lamb misses 3-pt shot from 26 ft,,84-85,,
9:12.0,,,84-85,,Defensive rebound by Team
8:59.0,,,84-85,,J. Crowder misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by C. Zeller,,84-85,,
8:51.0,J. Lamb makes 2-pt shot from 6 ft,2,86-85,,
8:51.0,Shooting foul by J. Crowder (drawn by J. Lamb),,86-85,,
8:51.0,,,86-85,,L. James enters the game for J. Green
8:51.0,M. Kidd-Gilchrist enters the game for D. Bacon,,86-85,,
8:51.0,J. Lamb misses free throw 1 of 1,,86-85,,
8:49.0,,,86-85,,Defensive rebound by K. Love
8:34.0,,,86-85,,L. James misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by Team,,86-85,,
8:32.0,,,86-85,,Loose ball foul by D. Wade (drawn by J. Lamb)
8:10.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,88-85,,
7:53.0,,,88-85,,Turnover by L. James (bad pass)
7:45.0,C. Zeller misses 2-pt shot from 18 ft,,88-85,,
7:42.0,,,88-85,,Defensive rebound by K. Love
7:35.0,Personal foul by M. Carter-Williams (drawn by K. Korver),,88-85,,
7:35.0,,,88-85,,J. Smith enters the game for K. Korver
