time,Philadelphia,pts.away,score,pts.home,Cleveland
0:30.0,Offensive rebound by J. Embiid,,77-71,,
0:30.0,J. Embiid misses 2-pt shot from 1 ft (block by L. Nance),,77-71,,
0:30.0,Offensive rebound by J. Embiid,,77-71,,
0:29.0,,,77-71,,Personal foul by K. Korver (drawn by J. Embiid)
0:29.0,J. Embiid misses free throw 1 of 2,,77-71,,
0:29.0,Offensive rebound by Team,,77-71,,
0:29.0,J. Embiid misses free throw 2 of 2,,77-71,,
0:27.0,,,77-71,,Defensive rebound by K. Korver
0:04.0,,,77-71,,J. Clarkson misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by E. Ilyasova,,77-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Embiid makes 2-pt shot from 8 ft (assist by E. Ilyasova),2,79-71,,
11:28.0,,,79-71,,K. Korver misses 3-pt shot from 27 ft
11:26.0,,,79-71,,Offensive rebound by L. Nance
11:24.0,,,79-71,,L. Nance misses 2-pt shot from 5 ft
11:21.0,Defensive rebound by J. Embiid,,79-71,,
11:13.0,J. Embiid misses 2-pt shot from 8 ft,,79-71,,
11:11.0,Offensive rebound by M. Belinelli,,79-71,,
11:08.0,E. Ilyasova misses 3-pt shot from 27 ft,,79-71,,
11:05.0,,,79-71,,Defensive rebound by J. Green
10:54.0,,,79-71,,K. Korver misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by Team,,79-71,,
10:52.0,,,79-71,,Loose ball foul by L. Nance (drawn by E. Ilyasova)
10:38.0,Shooting foul by K. Korver (drawn by J. Redick),,79-71,,
10:38.0,J. Redick misses free throw 1 of 2,,79-71,,
10:38.0,Offensive rebound by Team,,79-71,,
10:38.0,J. Redick makes free throw 2 of 2,1,80-71,,
10:24.0,,,80-71,,R. Hood misses 2-pt shot from 11 ft
10:22.0,Defensive rebound by J. Embiid,,80-71,,
10:11.0,J. Embiid misses 2-pt shot from 10 ft (block by L. Nance),,80-71,,
10:07.0,,,80-71,,Defensive rebound by J. Green
9:48.0,,,80-71,,J. Green misses 2-pt shot from 17 ft
9:46.0,Defensive rebound by M. Belinelli,,80-71,,
9:37.0,Shooting foul by J. Green (drawn by M. Belinelli),,80-71,,
9:37.0,M. Belinelli makes free throw 1 of 3,1,81-71,,
9:37.0,M. Belinelli makes free throw 2 of 3,1,82-71,,
9:37.0,,,82-71,,L. James enters the game for J. Green
9:37.0,B. Simmons enters the game for T. McConnell,,82-71,,
9:37.0,M. Belinelli misses free throw 3 of 3,,82-71,,
9:35.0,,,82-71,,Defensive rebound by L. Nance
9:22.0,Personal foul by E. Ilyasova (drawn by L. Nance),,82-71,,
9:22.0,R. Covington enters the game for J. Redick,,82-71,,
9:11.0,,,82-71,,Turnover by K. Korver (bad pass; steal by B. Simmons)
9:07.0,E. Ilyasova makes 2-pt shot at rim (assist by B. Simmons),2,84-71,,
9:07.0,,,84-71,,Cleveland full timeout
9:07.0,A. Johnson enters the game for J. Embiid,,84-71,,
8:57.0,,,84-71,,Turnover by L. James (bad pass)
8:37.0,B. Simmons misses 2-pt shot from 13 ft,,84-71,,
8:34.0,,,84-71,,Defensive rebound by K. Korver
8:27.0,,,84-73,2,L. James makes 2-pt shot at rim (assist by J. Clarkson)
8:18.0,E. Ilyasova misses 3-pt shot from 27 ft,,84-73,,
8:14.0,,,84-73,,Defensive rebound by L. James
8:08.0,,,84-73,,Shooting foul by M. Belinelli (drawn by L. Nance)
8:08.0,,,84-74,1,L. Nance makes free throw 1 of 2
8:08.0,,,84-75,1,L. Nance makes free throw 2 of 2
7:55.0,Shooting foul by R. Hood (drawn by A. Johnson),,84-75,,
7:55.0,A. Johnson makes free throw 1 of 2,1,85-75,,
7:55.0,A. Johnson misses free throw 2 of 2,,85-75,,
7:53.0,,,85-75,,Defensive rebound by R. Hood
7:46.0,,,85-78,2,R. Hood makes 3-pt shot from 27 ft (assist by L. James)
7:21.0,M. Belinelli misses 3-pt shot from 26 ft,,85-78,,
7:21.0,Offensive rebound by Team,,85-78,,
7:21.0,Turnover by Team (shot clock),,85-78,,
7:21.0,D. Saric enters the game for E. Ilyasova,,85-78,,
7:04.0,,,85-78,,L. James misses 2-pt shot from 4 ft
7:01.0,Defensive rebound by M. Belinelli,,85-78,,
6:54.0,A. Johnson misses 2-pt shot from 2 ft (block by K. Korver),,85-78,,
6:50.0,Offensive rebound by A. Johnson,,85-78,,
6:48.0,A. Johnson makes 2-pt shot from 1 ft,2,87-78,,
6:35.0,,,87-80,2,J. Clarkson makes 2-pt shot from 6 ft
6:25.0,B. Simmons misses 2-pt shot from 6 ft,,87-80,,
6:22.0,Offensive rebound by A. Johnson,,87-80,,
6:22.0,A. Johnson misses 2-pt shot at rim,,87-80,,
6:22.0,,,87-80,,Defensive rebound by Team
6:11.0,,,87-83,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
6:11.0,Philadelphia full timeout,,87-83,,
6:11.0,J. Redick enters the game for A. Johnson,,87-83,,
6:11.0,J. Embiid enters the game for M. Belinelli,,87-83,,
5:55.0,R. Covington misses 2-pt shot from 20 ft,,87-83,,
5:52.0,Offensive rebound by B. Simmons,,87-83,,
